id,name,postcode,address,lat,lng,rating,rating_num,renovation_year,price_low,URL
38,Tribeka,LS2 8GL,"76 Cookridge Street, 利兹 LS2 8GL, 英国",53.799856,-1.562529,4,3,2024,176,https://prestigestudentliving.com/student-accommodation/leeds/tribeka
39,Exchange Court,LS1 4AX,"Duncombe Street, 利兹 LS1 4AX, 英国",53.802277,-1.546304,4,2,2025,256,https://www.casita.com/student-accommodation/150842-exchange-court-leeds-uk
40,Trinity Hall,LS6 2FD,"Holborn Approach, 利兹 LS6 2FD, 英国",53.798817,-1.558669,4.3,22,2016,136,https://trinity-hall.co.uk/
41,Woodhouse Flats,LS2 9EP,"St Mark's Street, 利兹 LS2 9EP, 英国",53.813622,-1.554246,4.6,17,2022,141,https://ypp.co.uk/building/leeds-woodhouse-plaza/
42,The Plaza,LS2 8AR,"Claypit Lane, 利兹 LS2 8AR, 英国",53.811284,-1.553997,4.5,157,2006,134,https://www.unitestudents.com/leeds/the-plaza
43,Austin Hall,LS7 1AU,"Servia Road, 利兹 LS7 1AU, 英国",53.804659,-1.544168,4.3,26,2019,139,https://www.accommodationforstudents.com/student-hall/3691-austin-hall-asquith-house-leeds
44,Clarence Dock Village,LS10 1LU,"Clarence Road, 利兹 LS10 1LU, 英国",53.811339,-1.54695,5,1,2016,118,https://accommodation.leeds.ac.uk/residence/34/clarence-dock-village
45,Briggate Studios,LS1 6AA,"12 Briggate, 利兹 LS1 6AA, 英国",53.789769,-1.528724,2.3,7,2023,249,https://stuhomes.com/location/leeds/
46,Mary Morris House,LS6 2DE,"SHIRE OAK ROAD, 利兹 LS6 2DE, 英国",53.795513,-1.542779,3,1,2020,89,https://essentialstudentliving.com/student-accommodation/leeds/mary-morris-house
47,LiveOasis Merrion Street Gardens,LS2 8GG,"2 Wade Lane, 利兹 LS2 8GG, 英国",53.820422,-1.570457,5,2,2024,264,https://en.uhomes.com/uk/leeds/detail-apartments-1616693
48,Asquith House,LS7 1AW,"Servia Road, 利兹 LS7 1AW, 英国",53.80105,-1.542749,3.3,4,2015,139,https://www.accommodationforstudents.com/student-hall/3691-austin-hall-asquith-house-leeds
49,Triangle,LS3 1JP,"2 Burley Road, 利兹 LS3 1JP, 英国",53.811907,-1.547324,5,4,2005,129,https://triangle.parklaneproperties.com/
50,Thornville Court,LS6 1 QW,"Thornville Court, 利兹 LS6 1QW, 英国",53.804444,-1.568525,4.5,2,2019,119,https://www.universityliving.com/united-kingdom/leeds/property/thornville-court-thornville-road
